a;ö
a(1);EI
a's;EIz
a.;EI
a.'s;EIz
a.s;EIz
a42128;EIfOrtUwAntUEIt
aa;EIEI
aaa;trIpölEI
aaberg;Ábörg
aachen;Ákön
aachener;Ákönör
aah;Á
aaker;Ákör
aaliyah;ÁlÍÁ
aalseth;Álset
aamodt;Ámöt
aancor;ÁnkOr
aardema;ardEmö
aardvark;ÁrdvÁrk
aardvarks;ÁrdvÁrks
aargh;Árg
aaron;Erön
aaron's;Erönz
aarons;Erönz
aaronson;Erönsön
aaronson(1);Árönsön
aaronson's;Erönsönz
aaronson's(1);Árönsönz
aarti;ÁrtÍ
aase;Ás
aasen;Ásön
ab;Äb
aba;EIbÍEI
ababa;öbÁbö
ababa(1);Áböbö
abacha;Äbökö
aback;öbÄk
abaco;ÄbökOU
abacus;Äbökös
abad;öbÁd
abadaka;öbÄdökö
abadi;öbÄdi
abadie;öbÄdi
abair;öbEr
abalkin;öbÁlkin
abalone;ÄbölOUni
abalones;ÄbölOUniz
abalos;abÁlouz
abandon;öbÄndön
abandoned;öbÄndönd
abandoning;öbÄndönin
abandonment;öbÄndönmönt
abandonments;öbÄndönmönts
abandons;öbÄndönz
abanto;öbÄntou
abarca;öbÁrkö
abare;abÁri
abascal;Äbösköl
abash;öbÄš
abashed;öbÄšt
abasia;öbEIžjö
abate;öbEIt
abated;öbEItid
abatement;öbEItmönt
abatements;öbEItmönts
abates;öbEIts
abating;öbEItin
abba;Äbö
abbado;öbÁdou
abbas;öbÁs
abbasi;abÁsi
abbate;Ábeit
abbatiello;abatiElou
abbe;Äbi
abbe(1);äbEI
abbenhaus;ÄbönhAUs
abbett;öbEt
abbeville;Äbvil
abbey;Äbi
abbey's;Äbiz
abbie;Äbi
abbitt;Äbit
abbot;Äböt
abbotstown;ÄbötstAUn
abbott;Äböt
abbott's;Äböts
abbottstown;ÄbötstAUn
abboud;öbUd
abboud(1);öbAUd
abbreviate;öbrÍviEIt
abbreviated;öbrÍviEItid
abbreviates;öbrÍviEIts
abbreviating;öbrÍviEItin
abbreviation;öbrÍviEIšön
abbreviations;öbrÍviEIšönz
abbruzzese;abrutsEIzi
abbs;Äbz
abby;Äbi
abc;EIbÍsÍ
abc's;EIbÍsÍz
abco;Äbkou
abcotek;ÄbkoutEk
abcs;EIbÍsÍz
abdalla;ÄbdÄlö
abdallah;ÄbdÄlö
abdel;ÄbdEl
abdella;ÄbdElö
abdicate;ÄbdökEIt
abdicated;ÄbdökEItöd
abdicates;ÄbdökEIts
abdicating;ÄbdikEItin
abdication;ÄbdikEIšön
abdnor;Äbdnör
abdo;Äbdou
abdollah;ÄbdÁlö
abdomen;äbdOUmön
abdomen(1);Äbdömön
abdominal;äbdÁmönöl
abdominal(1);öbdÁmönöl
abduct;äbdAkt
abducted;äbdAktid
abducted(1);öbdAktid
abductee;äbdaktÍ
abductees;äbdaktÍz
abducting;äbdAktin
abducting(1);öbdAktin
abduction;äbdAkšön
abduction(1);öbdAkšön
abductions;äbdAkšönz
abductions(1);öbdAkšönz
abductor;äbdAktör
abductor(1);öbdAktör
abductors;äbdAktörz
abductors(1);öbdAktörz
abducts;äbdAkts
abdul;äbdUl
abdulaziz;äbdUlözÍz
abdulla;abdUlö
abdullah;ÄbdAlö
abe;EIb
abed;öbEd
abedi;öbEdi
abee;öbÍ
abel;EIböl
abela;abElö
abelard;Äbilörd
abele;öbEl
abeles;öbElz
abeles(1);EIbölÍz
abell;EIböl
abella;öbElö
abeln;Äbiln
abelow;Äbölou
abels;EIbölz
abelson;Äbilsön
abend;Äbend
abend(1);öbEnd
abendroth;Äbindrot
aber;EIbör
abercrombie;ÄbörkrÁmbi
aberdeen;ÄbördÍn
aberford;EIbörförd
aberg;Äbörg
aberle;Äböröl
aberle(1);Äbörl
abermin;Äbörmin
abernathy;ÄbörnÄti
abernethy;ÄbörnEti
aberrant;äbErönt
aberration;ÄbörEIšön
aberrational;ÄbörEIšönöl
aberrations;ÄbörEIšönz
abert;Äbört
abet;öbEt
abetted;öbEtid
abetting;öbEtin
abex;EIbeks
abeyance;öbEIöns
abeyta;abEItö
abhor;äbhOr
abhorred;öbhOrd
abhorrence;öbhOröns
abhorrent;äbhOrönt
abhors;öbhOrz
abiam;EIbiöm
abiam's;EIbiömz
abid;EIbid
abide;öbAId
abided;öbAIdid
abides;öbAIdz
abiding;öbAIdin
abidjan;äbidžÁn
abie;Äbi
abigail;ÄbögEIl
abila;abÍlö
abilene;ÄbilÍn
abilities;öbIlötÍz
ability;öbIlötÍ
abimael;ÄbimEIl
abimaels;ÄbimEIlz
abingdon;Äbindön
abington;Äbintön
abio;Ábiou
abiola;ÁbiOUlö
abiola's;ÁbiOUlöz
abiomed;eibÍömed
abiquiu;öbIkju
abitibi;ÄbitÍbi
abitz;Äbits
abject;Äbdžekt
abkhazia;äbkÁzjö
abkhazia(1);äbkÄzjö
abkhazian;äbkÁziön
abkhazian(1);äbkÄziön
abkhazian(2);äbkÁzjön
abkhazian(3);äbkÄzjön
abkhazians;äbkÁziönz
abkhazians(1);äbkÄziönz
ablaze;öblEIz
able;EIböl
able-bodied;EIbölbÁdid
abled;EIböld
abler;EIbölör
abler(1);EIblör
ables;EIbölz
ablest;EIbölst
ablest(1);EIblöst
abloom;öblUm
ably;EIbli
abnegation;ÄbnegEIšön
abner;Äbnör
abney;Äbni
abnormal;äbnOrmöl
abnormalities;ÄbnormÄlötiz
abnormality;ÄbnormÄlöti
abnormally;äbnOrmöli
abo;Ábou
abo's;Ábouz
aboard;öbOrd
abode;öbOUd
abohalima;äböhölÍmö
abolish;öbÁliš
abolished;öbÁlišt
abolishes;öbÁlišiz
abolishing;öbÁlišin
abolition;ÄbölIšön
abolitionism;ÄbölIšönIzöm
abolitionist;ÄbölIšönöst
abolitionists;ÄbölIšönösts
abolitionists(1);ÄbölIšönös
abominable;öbÁmönöböl
abomination;öbÁmönEIšön
abominations;öbÁmönEIšönz
abood;öbUd
aboodi;öbUdi
abor;öbOr
aboriginal;ÄbörIdžönöl
aborigine;ÄbörIdžöni
aborigines;ÄbörIdžöniz
aborn;öbOrn
abort;öbOrt
aborted;öbOrtid
abortifacient;öbOrtöfEIšönt
abortifacients;öbOrtöfEIšönts
aborting;öbOrtin
abortion;öbOršön
abortionist;öbOršönist
abortionists;öbOršönists
abortionists(1);öbOršönis
abortions;öbOršönz
abortive;öbOrtiv
aborts;öbOrts
abott;öbÁt
abou;öbU
aboud;abUd
abouhalima;ÁbuhalÍmö
abouhalima's;ÁbuhalÍmöz
abound;öbAUnd
abounded;öbAUndid
abounding;öbAUndin
abounds;öbAUndz
about;öbAUt
about's;öbAUts
above;öbAv
above's;öbAvz
aboveboard;öbAvbOrd
abplanalp;Äbplönälp
abra;Ábrö
